feature,coefficient,abs_coefficient
cat__kyc_tier_enhanced,-2.1125431556153367,2.1125431556153367
cat__dest_currency_NGN,-1.6601606948398915,1.6601606948398915
cat__kyc_tier_low,1.2489303208501017,1.2489303208501017
cat__source_currency_USD,-1.0779217363406286,1.0779217363406286
cat__kyc_tier_unknown,1.0548493583507907,1.0548493583507907
cat__source_currency_GBP,0.9076315631341508,0.9076315631341508
cat__home_country_US,0.7972714957603193,0.7972714957603193
cat__dest_currency_CNY,0.6571487183967516,0.6571487183967516
cat__channel_unknown,-0.6192220644947389,0.6192220644947389
cat__home_country_UK,-0.5690792550482549,0.5690792550482549
cat__dest_currency_GBP,0.5498464241489135,0.5498464241489135
cat__home_country_UNKNOWN,-0.5117869240416004,0.5117869240416004
cat__channel_web,0.477076135377408,0.477076135377408
cat__dest_currency_MXN,0.4310192537479207,0.4310192537479207
cat__dest_currency_EUR,0.409086556254498,0.409086556254498
num__exchange_rate_src_to_dest,0.39977026601342847,0.39977026601342847
num__corridor_risk,0.3993384030336383,0.3993384030336383
num__account_age_days,-0.3760486421195872,0.3760486421195872
cat__new_device_True,-0.2924117004146087,0.2924117004146087
num__chargeback_history_count,-0.283321582526652,0.283321582526652
